Tenant Name,Users Count,Cloud Account Count (AWS),Cloud Account Count (GCP),Cloud Account Count (Azure),Cloud Asset Counts
sandbox,44,1,1,1,10874
eswarprod,1,0,0,0,0
accuknoxon,1,0,0,0,0
onprem-validation,1,0,0,0,0
AccuknoxRJ,1,0,0,0,0
weew,1,0,0,0,0
automation,1,2,0,1,4992
Getronics,2,1,0,0,475
Getronics India,6,1,0,2,1940
NATICA AS,1,0,0,0,0
Solution Engineering,1,1,0,0,479
dsasdasd dasdsadsad,1,0,0,0,0
Verogen,4,0,0,0,136
AuthenticID,4,0,0,0,1
tenantdeletetest,4,0,0,0,0
Pure Storage,4,11,1,1,36924
accuknox,1,0,0,0,0
prodtestt,10,1,1,1,10132
Accuknox,1,1,0,0,242
Clint Health,3,4,0,0,5770
Sanrlei Polini,1,0,0,0,0
